Change Component Description : Designator=C12 Old Description=CAP 1uF 16V ?% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 1uF 16V °¿5% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C16 Old Description=CAP 1uF 16V ?% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 1uF 16V °¿5% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C24 Old Description=CAP 1uF 16V ?% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 1uF 16V °¿5% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C2 Old Description=CAP 10nF 16V ?0% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 10nF 16V °¿10% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C10 Old Description=CAP 10uF 16V ?0% 0805 (2012 Metric) Thickness 1.45mm SMD New Description=CAP 10uF 16V °¿10% 0805 (2012 Metric) Thickness 1.45mm SMD
Change Component Description : Designator=C11 Old Description=CAP 10uF 16V ?0% 0805 (2012 Metric) Thickness 1.45mm SMD New Description=CAP 10uF 16V °¿10% 0805 (2012 Metric) Thickness 1.45mm SMD
Change Component Description : Designator=C13 Old Description=CAP 18pF 16V ?% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 18pF 16V °¿5% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C14 Old Description=CAP 18pF 16V ?% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 18pF 16V °¿5% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C17 Old Description=CAP 22uF 10V ?0% 0805 (2012 Metric) Thickness 1.45mm SMD New Description=CAP 22uF 10V °¿20% 0805 (2012 Metric) Thickness 1.45mm SMD
Change Component Description : Designator=C18 Old Description=CAP 22uF 10V ?0% 0805 (2012 Metric) Thickness 1.45mm SMD New Description=CAP 22uF 10V °¿20% 0805 (2012 Metric) Thickness 1.45mm SMD
Change Component Description : Designator=C19 Old Description=CAP 22uF 10V ?0% 0805 (2012 Metric) Thickness 1.45mm SMD New Description=CAP 22uF 10V °¿20% 0805 (2012 Metric) Thickness 1.45mm SMD
Change Component Description : Designator=C20 Old Description=CAP 22uF 10V ?0% 0805 (2012 Metric) Thickness 1.45mm SMD New Description=CAP 22uF 10V °¿20% 0805 (2012 Metric) Thickness 1.45mm SMD
Change Component Description : Designator=C21 Old Description=CAP 22uF 10V ?0% 0805 (2012 Metric) Thickness 1.45mm SMD New Description=CAP 22uF 10V °¿20% 0805 (2012 Metric) Thickness 1.45mm SMD
Change Component Description : Designator=C5 Old Description=CAP 47pF 16V ?.5pF 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 47pF 16V °¿0.5pF 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C6 Old Description=CAP 47pF 16V ?.5pF 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 47pF 16V °¿0.5pF 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C27 Old Description=CAP 100nF 6.3V ?% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 100nF 6.3V °¿5% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C28 Old Description=CAP 100nF 6.3V ?% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 100nF 6.3V °¿5% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C29 Old Description=CAP 100nF 6.3V ?% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 100nF 6.3V °¿5% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C1 Old Description=CAP 100nF 16V ?0% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 100nF 16V °¿10% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C3 Old Description=CAP 100nF 16V ?0% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 100nF 16V °¿10% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C7 Old Description=CAP 100nF 16V ?0% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 100nF 16V °¿10% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C15 Old Description=CAP 100nF 16V ?0% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 100nF 16V °¿10% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C22 Old Description=CAP 100nF 16V ?0% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 100nF 16V °¿10% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C23 Old Description=CAP 820pF 10V ?0% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 820pF 10V °¿10% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=L2 Old Description=SMD Flat Wire High Current Inductor WE-HCI, L=1.00 µH New Description=SMD Flat Wire High Current Inductor WE-HCI, L=1.00 ¶ÃH
Change component parameters: Designator = "J1" ("J1"); Footprint = "HIRO-ZX62R-B-5P_V"; UniqueID = "\YKKZDFBE" ("\YKKZDFBE")
Change component parameters (AddParameter): Name = "Serial Interfaces"; Value = "SPI, UART"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "Xplained Pro"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "120"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digikey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "ATSAMW25H18-MR510PB-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Supply"; Value = "2.7 V ~ 4.2 V"; VariantName = "[No Variations]"
Change component parameters: Designator = "C1" ("C1"); Footprint = "CAPC0603(1608)100_N"; UniqueID = "\TXIGUSRY\EMZRCETM" ("\TXIGUSRY\EMZRCETM")
Change component parameters (AddParameter): Name = "Case-EIA"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case-Metric"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Thickness"; Value = "1 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Voltage"; Value = "16 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "?°¿10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100nF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C2" ("C2"); Footprint = "CAPC0603(1608)100_N"; UniqueID = "\TXIGUSRY\EZXGHMAW" ("\TXIGUSRY\EZXGHMAW")
Change component parameters (AddParameter): Name = "Case-EIA"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case-Metric"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Thickness"; Value = "1 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Voltage"; Value = "16 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "?°¿10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "10nF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C3" ("C3"); Footprint = "CAPC0603(1608)100_N"; UniqueID = "\TXIGUSRY\RZDPMETQ" ("\TXIGUSRY\RZDPMETQ")
Change component parameters (AddParameter): Name = "Case-EIA"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case-Metric"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Thickness"; Value = "1 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Voltage"; Value = "16 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "?°¿10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100nF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C5" ("C5"); Footprint = "CAPC0603(1608)100_N"; UniqueID = "\TXIGUSRY\FAZSKVXR" ("\TXIGUSRY\FAZSKVXR")
Change component parameters (AddParameter): Name = "Case-EIA"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case-Metric"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Thickness"; Value = "1 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Voltage"; Value = "16 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "?°¿0.5pF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "47pF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C6" ("C6"); Footprint = "CAPC0603(1608)100_N"; UniqueID = "\TXIGUSRY\LDCMGSRO" ("\TXIGUSRY\LDCMGSRO")
Change component parameters (AddParameter): Name = "Case-EIA"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case-Metric"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Thickness"; Value = "1 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Voltage"; Value = "16 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "?°¿0.5pF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "47pF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C7" ("C7"); Footprint = "CAPC0603(1608)100_N"; UniqueID = "\TXIGUSRY\ZUYRDNUC" ("\TXIGUSRY\ZUYRDNUC")
Change component parameters (AddParameter): Name = "Case-EIA"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case-Metric"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Thickness"; Value = "1 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Voltage"; Value = "16 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "?°¿10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100nF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C10" ("C10"); Footprint = "CAPC0805(2012)145_N"; UniqueID = "\KABPZABH\TIFIJDHF" ("\KABPZABH\TIFIJDHF")
Change component parameters (AddParameter): Name = "Case-EIA"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case-Metric"; Value = "2012"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Thickness"; Value = "1.45 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Voltage"; Value = "16 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "?°¿10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "10uF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C11" ("C11"); Footprint = "CAPC0805(2012)145_N"; UniqueID = "\KABPZABH\PTIXTDFT" ("\KABPZABH\PTIXTDFT")
Change component parameters (AddParameter): Name = "Case-EIA"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case-Metric"; Value = "2012"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Thickness"; Value = "1.45 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Voltage"; Value = "16 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "?°¿10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "10uF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C12" ("C12"); Footprint = "CAPC0603(1608)100_N"; UniqueID = "\KABPZABH\ASDIDWKU" ("\KABPZABH\ASDIDWKU")
Change component parameters (AddParameter): Name = "Case-EIA"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case-Metric"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Thickness"; Value = "1 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Voltage"; Value = "16 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "?°¿5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1uF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C13" ("C13"); Footprint = "CAPC0603(1608)100_N"; UniqueID = "\KABPZABH\GBDPPOLI" ("\KABPZABH\GBDPPOLI")
Change component parameters (AddParameter): Name = "Case-EIA"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case-Metric"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Thickness"; Value = "1 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Voltage"; Value = "16 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "?°¿5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "18pF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C14" ("C14"); Footprint = "CAPC0603(1608)100_N"; UniqueID = "\KABPZABH\WETYABXD" ("\KABPZABH\WETYABXD")
Change component parameters (AddParameter): Name = "Case-EIA"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case-Metric"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Thickness"; Value = "1 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Voltage"; Value = "16 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "?°¿5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "18pF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C15" ("C15"); Footprint = "CAPC0603(1608)100_N"; UniqueID = "\OSLTIIAV\FRTSLIGT" ("\OSLTIIAV\FRTSLIGT")
Change component parameters (AddParameter): Name = "Case-EIA"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case-Metric"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Thickness"; Value = "1 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Voltage"; Value = "16 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "?°¿10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100nF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C16" ("C16"); Footprint = "CAPC0603(1608)100_N"; UniqueID = "\BKQCUZOO\BXUVENFH" ("\BKQCUZOO\BXUVENFH")
Change component parameters (AddParameter): Name = "Case-EIA"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case-Metric"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Thickness"; Value = "1 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Voltage"; Value = "16 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "?°¿5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1uF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C17" ("C17"); Footprint = "CAPC0805(2012)145_N"; UniqueID = "\BKQCUZOO\CMEXJKJF" ("\BKQCUZOO\CMEXJKJF")
Change component parameters (AddParameter): Name = "Case-EIA"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case-Metric"; Value = "2012"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Thickness"; Value = "1.45 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Voltage"; Value = "10 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "?°¿20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "22uF"; VariantName = "[No Variations]"
